Countryimf,Continent,BCA_NGDPD,GGXWDG_NGDP,NGDP_RPCH,NID_NGDP,PCPIPCH,PPPPC,NY.GNS.ICTR.ZS
STP,Africa,-6.504,93.062,4.179,27.531,5.433,8.0461371686,23.059604963
SUR,Americas,-5.164,75.845,-5.139,60.719,55.501,9.58568951266,26.0050308507
SVK,Europe,-1.457,51.819,3.325,22.57,-0.474,10.3557818876,19.6417662514
SVN,Europe,5.502,78.562,3.148,18.701,-0.053,10.3813307779,43.7946717003
SWZ,Africa,17.248,25.465,1.369,12.439,7.847,9.19937143252,19.3620779528
SYC,Africa,-20.067,69.06,4.503,30.221,-1.014,10.2156568506,13.4563622532
TCD,Africa,-9.18,52.408,-6.431,16.702,-1.122,7.8021091477,15.0872546091
TGO,Africa,-9.321,81.585,5.1,31.125,0.857,7.37958411652,17.6657136687
THA,Asia,11.713,41.805,3.283,21.08,0.188,9.73672451188,6.42502324616
TLS,Asia,-21.598,3.062,5.321,26.244,-1.339,8.69836341902,39.7949272424
TUN,Africa,-8.836,62.271,1.108,22.259,3.727,9.3603751072,11.3928748652
TUR,Asia,-3.838,28.311,3.184,28.227,7.775,10.1272029803,30.9615251266
TWN,Asia,13.717,36.232,1.41,20.812,1.029,10.7827360542,11.5757459871
UGA,Africa,-2.886,37.43,2.323,24.403,5.455,7.7334090147,46.1804543797
URY,Americas,0.779,61.571,1.69,17.798,9.639,9.97434281536,-13.4037937589
USA,Americas,-2.314,106.838,1.567,20.32,1.272,10.9649954763,24.970729301
UZB,Asia,0.573,10.462,7.8,24.802,7.982,8.79222944144,14.9088659362
VCT,Americas,-15.798,82.826,0.83,26.082,-0.158,9.32364861065,14.9780777659
VEN,Americas,-1.639,31.299,-16.456,15.407,254.391,9.55928260542,6.40893047087
VNM,Asia,2.942,59.942,6.211,26.578,2.668,8.76878440361,14.9780777659
VUT,Oceania,-4.646,46.059,3.467,25.569,0.842,7.88037681566,30.118968312
YEM,Asia,-5.127,68.113,-13.621,1.402,-12.563,7.87741652633,52.2384869647
ZAF,Africa,-2.786,51.566,0.565,19.353,6.341,9.50000278226,22.9768626796
ZMB,Africa,-4.461,60.668,3.757,41.757,17.869,8.27214957472,24.2969444156
ZWE,Africa,-3.43,69.92,0.665,15.556,-1.566,7.71234678126,29.3798122874
